Grafo,Fuente,Sumidero,Mediatime,Medianatime,Stdtime,Flujomaximo,DistGrado,CoefAgrup,CentCercania,CentCarga,ExcentCarga,PageR
grafo1,8,6,0.045977426,0.040005088,0.017413498,42,4,0.166666667,0.452380952,0.100389864,4,0.050460546
grafo1,8,7,0.04199338,0.032017827,0.018445036,42,4,0.166666667,0.452380952,0.100389864,4,0.050460546
grafo1,8,9,0.055005288,0.049950957,0.018045042,42,4,0.166666667,0.452380952,0.100389864,4,0.050460546
grafo1,8,10,0.042015243,0.03499651,0.018344116,42,4,0.166666667,0.452380952,0.100389864,4,0.050460546
grafo1,8,11,0.04101429,0.030124545,0.017584639,42,4,0.166666667,0.452380952,0.100389864,4,0.050460546
grafo1,8,12,0.035979629,0.029910803,0.01746399,18,4,0.166666667,0.452380952,0.100389864,4,0.050460546
grafo1,8,13,0.041016245,0.032104135,0.017668233,33,4,0.166666667,0.452380952,0.100389864,4,0.050460546
grafo1,8,14,0.049995589,0.039975286,0.019094888,42,4,0.166666667,0.452380952,0.100389864,4,0.050460546
grafo1,8,15,0.043985581,0.039983869,0.018526985,42,4,0.166666667,0.452380952,0.100389864,4,0.050460546
grafo1,8,16,0.036008573,0.03003931,0.020178163,34,4,0.166666667,0.452380952,0.100389864,4,0.050460546
grafo1,8,17,0.041992164,0.03498733,0.017345918,42,4,0.166666667,0.452380952,0.100389864,4,0.050460546
grafo1,8,18,0.050406742,0.040151715,0.018893341,42,4,0.166666667,0.452380952,0.100389864,4,0.050460546
grafo1,8,19,0.053997803,0.047790051,0.017344005,42,4,0.166666667,0.452380952,0.100389864,4,0.050460546
grafo1,9,0,0.040192485,0.031246424,0.01635268,33,4,0.5,0.463414634,0.030945419,3,0.048772921
grafo1,9,1,0.044800711,0.034513831,0.020494466,44,4,0.5,0.463414634,0.030945419,3,0.048772921
grafo1,9,2,0.042336726,0.034548163,0.022090228,44,4,0.5,0.463414634,0.030945419,3,0.048772921
grafo1,9,3,0.046362734,0.037762284,0.019997385,44,4,0.5,0.463414634,0.030945419,3,0.048772921
grafo1,9,4,0.043901086,0.034515262,0.020584654,44,4,0.5,0.463414634,0.030945419,3,0.048772921
grafo1,9,5,0.041675568,0.031264067,0.021774742,44,4,0.5,0.463414634,0.030945419,3,0.048772921
grafo1,9,6,0.033214545,0.031226873,0.019053804,44,4,0.5,0.463414634,0.030945419,3,0.048772921
grafo1,9,7,0.038542843,0.031239867,0.022250273,44,4,0.5,0.463414634,0.030945419,3,0.048772921
grafo1,9,8,0.055488086,0.046882629,0.023353385,42,4,0.5,0.463414634,0.030945419,3,0.048772921
grafo1,9,10,0.040123081,0.031240463,0.022562727,44,4,0.5,0.463414634,0.030945419,3,0.048772921
grafo1,9,11,0.04938271,0.042334557,0.024720723,44,4,0.5,0.463414634,0.030945419,3,0.048772921
grafo1,9,12,0.03124218,0.031225681,0.017108829,18,4,0.5,0.463414634,0.030945419,3,0.048772921
grafo1,9,13,0.036310577,0.031240582,0.02289805,33,4,0.5,0.463414634,0.030945419,3,0.048772921
grafo1,9,14,0.051551914,0.046868443,0.018545132,42,4,0.5,0.463414634,0.030945419,3,0.048772921
grafo1,9,15,0.052352142,0.046857595,0.018181893,44,4,0.5,0.463414634,0.030945419,3,0.048772921
grafo1,9,16,0.053112602,0.046864033,0.0211789,34,4,0.5,0.463414634,0.030945419,3,0.048772921
grafo1,9,17,0.056236625,0.046870351,0.018755159,42,4,0.5,0.463414634,0.030945419,3,0.048772921
grafo1,9,18,0.051719213,0.046864152,0.022118994,44,4,0.5,0.463414634,0.030945419,3,0.048772921
grafo1,9,19,0.056902242,0.046874523,0.019269746,44,4,0.5,0.463414634,0.030945419,3,0.048772921
grafo1,10,0,0.04061861,0.031258464,0.018735863,33,5,0.2,0.513513514,0.162646199,3,0.06094301
grafo1,10,1,0.056236815,0.046867013,0.018735973,44,5,0.2,0.513513514,0.162646199,3,0.06094301
grafo1,10,2,0.058042884,0.046870947,0.018419691,56,5,0.2,0.513513514,0.162646199,3,0.06094301
grafo1,10,3,0.051546121,0.046863794,0.018548232,49,5,0.2,0.513513514,0.162646199,3,0.06094301
grafo1,10,4,0.045305371,0.031265259,0.0214741,49,5,0.2,0.513513514,0.162646199,3,0.06094301
grafo1,10,5,0.047503757,0.046846747,0.016637998,51,5,0.2,0.513513514,0.162646199,3,0.06094301
grafo1,10,6,0.047119904,0.040333152,0.020779441,48,5,0.2,0.513513514,0.162646199,3,0.06094301
grafo1,10,7,0.053112245,0.046860337,0.017391504,59,5,0.2,0.513513514,0.162646199,3,0.06094301
grafo1,10,8,0.043739963,0.031244993,0.01821708,42,5,0.2,0.513513514,0.162646199,3,0.06094301
grafo1,10,9,0.042176843,0.031242371,0.018548941,44,5,0.2,0.513513514,0.162646199,3,0.06094301
