Datos del Grafo 1: Fuentes y sumideros que maximizan el flujo,,,,,,,,,,,
Fuente,Sumidero,Mediatime,Medianatime,Stdtime,Flujomaximo,DistGrado,CoefAgrup,CentCercania,CentCarga,ExcentCarga,PageR
18,1,0.08279736,0.070311904,0.02798469,44,4,0.333333333,0.431818182,0.043128655,4,0.049682378
18,9,0.060054135,0.046865225,0.036068173,44,4,0.333333333,0.431818182,0.043128655,4,0.049682378
19,1,0.054056954,0.04686439,0.018923762,44,4,0.5,0.452380952,0.040692008,3,0.049278739
19,9,0.054673815,0.046864867,0.016008496,44,4,0.5,0.452380952,0.040692008,3,0.049278739
1,8,0.056526756,0.046865344,0.019338462,42,4,0.5,0.452380952,0.034478558,3,0.049420697
1,14,0.049988031,0.046864152,0.022951047,42,4,0.5,0.452380952,0.034478558,3,0.049420697
1,17,0.065608668,0.054697514,0.023989089,42,4,0.5,0.452380952,0.034478558,3,0.049420697
2,8,0.047134852,0.039057374,0.02157047,42,5,0.2,0.487179487,0.132919103,3,0.060195216
2,14,0.042724156,0.031246066,0.018298619,42,5,0.2,0.487179487,0.132919103,3,0.060195216
2,17,0.053111887,0.04686451,0.021181462,42,5,0.2,0.487179487,0.132919103,3,0.060195216
3,8,0.054674673,0.046863675,0.016010209,42,4,0.333333333,0.441860465,0.060550682,4,0.049679565
3,14,0.048411965,0.046869516,0.013876238,42,4,0.333333333,0.441860465,0.060550682,4,0.049679565
3,17,0.057799768,0.046898246,0.018543404,42,4,0.333333333,0.441860465,0.060550682,4,0.049679565
4,8,0.053112221,0.046863079,0.021180743,42,5,0.2,0.5,0.130482456,3,0.059646852
4,14,0.05467577,0.046864867,0.023433053,42,5,0.2,0.5,0.130482456,3,0.059646852
4,17,0.057799935,0.046886325,0.018548893,42,5,0.2,0.5,0.130482456,3,0.059646852
5,8,0.046865225,0.039070606,0.020940181,42,5,0.1,0.5,0.153630604,3,0.062038288
5,14,0.050163031,0.046867132,0.015629134,42,5,0.1,0.5,0.153630604,3,0.062038288
5,17,0.054946566,0.04686749,0.019766421,42,5,0.1,0.5,0.153630604,3,0.062038288
6,8,0.048426723,0.046842456,0.020307338,42,4,0.5,0.452380952,0.024975634,3,0.048591383
6,14,0.048206306,0.046859622,0.020516033,42,4,0.5,0.452380952,0.024975634,3,0.048591383
6,17,0.061225533,0.054697275,0.018308909,42,4,0.5,0.452380952,0.024975634,3,0.048591383
7,8,0.040614605,0.031245947,0.018737321,42,5,0.3,0.5,0.084795322,3,0.059060466
7,14,0.042177606,0.031247258,0.018550282,42,5,0.3,0.5,0.084795322,3,0.059060466
7,17,0.043739343,0.031246781,0.018226342,42,5,0.3,0.5,0.084795322,3,0.059060466
8,1,0.054674673,0.046864271,0.020066184,42,4,0.166666667,0.452380952,0.100389864,4,0.050460546
8,2,0.050435209,0.046859741,0.023430361,42,4,0.166666667,0.452380952,0.100389864,4,0.050460546
8,3,0.054677701,0.046868563,0.016001785,42,4,0.166666667,0.452380952,0.100389864,4,0.050460546
8,4,0.053112793,0.046873093,0.017384004,42,4,0.166666667,0.452380952,0.100389864,4,0.050460546
8,5,0.046864319,0.031244755,0.024202457,42,4,0.166666667,0.452380952,0.100389864,4,0.050460546
8,6,0.047043633,0.046867371,0.017128777,42,4,0.166666667,0.452380952,0.100389864,4,0.050460546
8,7,0.042176628,0.031247377,0.018540074,42,4,0.166666667,0.452380952,0.100389864,4,0.050460546
8,9,0.05935812,0.046870232,0.021860606,42,4,0.166666667,0.452380952,0.100389864,4,0.050460546
8,10,0.058060002,0.048170328,0.031200868,42,4,0.166666667,0.452380952,0.100389864,4,0.050460546
8,11,0.0437428,0.031263709,0.021858758,42,4,0.166666667,0.452380952,0.100389864,4,0.050460546
8,14,0.054923248,0.046880484,0.025351403,42,4,0.166666667,0.452380952,0.100389864,4,0.050460546
8,15,0.050366569,0.046864152,0.022674697,42,4,0.166666667,0.452380952,0.100389864,4,0.050460546
8,17,0.042177892,0.031251907,0.018554238,42,4,0.166666667,0.452380952,0.100389864,4,0.050460546
8,18,0.051550651,0.046881676,0.018539445,42,4,0.166666667,0.452380952,0.100389864,4,0.050460546
8,19,0.056421018,0.046868682,0.019116263,42,4,0.166666667,0.452380952,0.100389864,4,0.050460546
9,8,0.056237507,0.046868801,0.0187379,42,4,0.5,0.463414634,0.030945419,3,0.048772921
9,14,0.054675198,0.046865463,0.020076399,42,4,0.5,0.463414634,0.030945419,3,0.048772921
9,17,0.056501126,0.046867728,0.019280887,42,4,0.5,0.463414634,0.030945419,3,0.048772921
10,8,0.043740559,0.031263351,0.018223105,42,5,0.2,0.513513514,0.162646199,3,0.06094301
10,14,0.043742657,0.031275153,0.018227689,42,5,0.2,0.513513514,0.162646199,3,0.06094301
10,17,0.045301414,0.039057016,0.017748786,42,5,0.2,0.513513514,0.162646199,3,0.06094301
11,8,0.043739009,0.03126502,0.018214676,42,4,0.333333333,0.452380952,0.046539961,4,0.048802937
11,14,0.042178082,0.031242967,0.022149246,42,4,0.333333333,0.452380952,0.046539961,4,0.048802937
11,17,0.04841361,0.045566201,0.020328738,42,4,0.333333333,0.452380952,0.046539961,4,0.048802937
14,1,0.051549888,0.046861768,0.018550481,42,4,0.166666667,0.475,0.102826511,3,0.049965649
14,2,0.04374125,0.031252623,0.018218549,42,4,0.166666667,0.475,0.102826511,3,0.049965649
14,3,0.048425031,0.046860695,0.020309322,42,4,0.166666667,0.475,0.102826511,3,0.049965649
14,4,0.051810408,0.046865106,0.018496514,42,4,0.166666667,0.475,0.102826511,3,0.049965649
14,5,0.049987459,0.04686594,0.015305866,42,4,0.166666667,0.475,0.102826511,3,0.049965649
