Datos del Grafo 4: Fuentes y sumideros que maximizan el flujo,,,,,,,,,,,
Fuente,Sumidero,Mediatime,Medianatime,Stdtime,Flujomaximo,DistGrado,CoefAgrup,CentCercania,CentCarga,ExcentCarga,PageR
5,15,0.054886389,0.046881318,0.019829535,57,5,0.5,0.542857143,0.009896268,3,0.041870142
5,19,0.046863985,0.031260014,0.024198148,57,5,0.5,0.542857143,0.009896268,3,0.041870142
6,1,0.047167134,0.039037585,0.021652944,57,5,0.4,0.558823529,0.012305068,3,0.041751325
6,3,0.056251502,0.04686451,0.018731181,57,5,0.4,0.558823529,0.012305068,3,0.041751325
6,5,0.051553679,0.04686451,0.022146507,57,5,0.4,0.558823529,0.012305068,3,0.041751325
6,7,0.046739888,0.046830058,0.016884114,57,5,0.4,0.558823529,0.012305068,3,0.041751325
6,8,0.046860266,0.031242728,0.024203132,57,5,0.4,0.558823529,0.012305068,3,0.041751325
6,9,0.044010997,0.032436013,0.01807258,57,5,0.4,0.558823529,0.012305068,3,0.041751325
6,10,0.049988246,0.046863675,0.015306218,57,5,0.4,0.558823529,0.012305068,3,0.041751325
6,11,0.046862769,0.031242967,0.024203981,57,5,0.4,0.558823529,0.012305068,3,0.041751325
6,12,0.043739772,0.031259894,0.01821738,57,5,0.4,0.558823529,0.012305068,3,0.041751325
6,13,0.050298834,0.04688096,0.019486321,57,5,0.4,0.558823529,0.012305068,3,0.041751325
6,15,0.059284806,0.046866775,0.018208477,57,5,0.4,0.558823529,0.012305068,3,0.041751325
6,19,0.05623672,0.04686451,0.0200051,57,5,0.4,0.558823529,0.012305068,3,0.041751325
7,5,0.059361172,0.046863794,0.026883147,57,8,0.107142857,0.633333333,0.106767497,2,0.065498419
7,6,0.048426151,0.03905499,0.023638765,57,8,0.107142857,0.633333333,0.106767497,2,0.065498419
8,5,0.047102475,0.040228367,0.020803461,57,9,0.277777778,0.633333333,0.089376218,3,0.07098757
8,6,0.049988413,0.04686451,0.015305593,57,9,0.277777778,0.633333333,0.089376218,3,0.07098757
9,5,0.048429441,0.046864033,0.020305273,57,8,0.25,0.612903226,0.064920403,3,0.063495925
9,6,0.044256568,0.031244993,0.022727655,57,8,0.25,0.612903226,0.064920403,3,0.063495925
10,5,0.049988341,0.046864986,0.015309363,57,7,0.333333333,0.612903226,0.057329667,2,0.056391904
10,6,0.052229643,0.046881795,0.018222849,57,7,0.333333333,0.612903226,0.057329667,2,0.056391904
11,5,0.049988055,0.046863675,0.019516391,57,9,0.25,0.655172414,0.105303769,2,0.07173098
11,6,0.050238585,0.046844721,0.022773892,57,9,0.25,0.655172414,0.105303769,2,0.07173098
12,5,0.04998827,0.046863794,0.01951116,57,5,0.3,0.558823529,0.012186717,3,0.041565164
12,6,0.053112459,0.046865106,0.0200048,57,5,0.3,0.558823529,0.012186717,3,0.041565164
